Hour,Date,True_Price,Forecast_Price,PSO_Action,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Action,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,107.09,-2.0,0.09999999999999998,162.7768,162.7768,-1.2,0.1842105263157895,128.508,128.508
1,2024-01-01,104.0,104.0,-1.1995545963532546,0.09999999999999998,-0.0,162.7768,-1.2,0.1,33.28,161.788
2,2024-01-01,100.0,100.0,-2.0,0.09999999999999998,-0.0,162.7768,-1.2,0.1,-0.0,161.788
3,2024-01-01,85.66,85.66,-0.7881045366753101,0.09999999999999998,-0.0,162.7768,2.0,0.575,-171.32,-9.531999999999982
4,2024-01-01,85.0,85.0,-2.0,0.09999999999999998,-0.0,162.7768,2.0,0.9,-116.31578947368423,-125.84778947368422
5,2024-01-01,85.53,85.53,2.0,0.575,-171.06,-8.283199999999994,2.0,0.9,-0.0,-125.84778947368422
6,2024-01-01,95.07,95.07,2.0,0.9,-130.09578947368422,-138.37898947368421,2.0,0.9,-0.0,-125.84778947368422
7,2024-01-01,104.07,104.07,1.3305762779524433,0.9,-0.0,-138.37898947368421,2.0,0.9,-0.0,-125.84778947368422
8,2024-01-01,106.95,106.95,0.695427976068073,0.9,-0.0,-138.37898947368421,-1.2,0.5842105263157895,128.34,2.4922105263157874
9,2024-01-01,107.08,107.08,2.0,0.9,-0.0,-138.37898947368421,-1.2,0.268421052631579,128.49599999999998,130.98821052631575
10,2024-01-01,104.0,104.0,-2.0,0.37368421052631584,208.0,69.62101052631579,-1.2,0.1,66.56000000000002,197.54821052631576
11,2024-01-01,98.13,98.13,2.0,0.8486842105263158,-196.26,-126.6389894736842,-1.2,0.1,-0.0,197.54821052631576
12,2024-01-01,101.55,101.55,-0.002193635959880359,0.8486842105263158,-0.0,-126.6389894736842,-1.2,0.1,-0.0,197.54821052631576
13,2024-01-01,98.16,98.16,2.0,0.9,-21.209085872576175,-147.84807534626037,2.0,0.575,-196.32,1.2282105263157632
14,2024-01-01,98.17,98.17,1.9999860943739192,0.9,-0.0,-147.84807534626037,2.0,0.9,-134.33789473684214,-133.10968421052638
15,2024-01-01,105.54,105.54,2.0,0.9,-0.0,-147.84807534626037,2.0,0.9,-0.0,-133.10968421052638
16,2024-01-01,110.0,110.0,1.1199603721875735,0.9,-0.0,-147.84807534626037,2.0,0.9,-0.0,-133.10968421052638
17,2024-01-01,120.04,120.04,2.0,0.9,-0.0,-147.84807534626037,-0.19999999999999996,0.8473684210526317,24.007999999999996,-109.10168421052639
18,2024-01-01,131.5,131.5,-1.2000006467163402,0.5842103561272789,157.80008504319875,9.952009696938376,-1.2,0.5315789473684212,157.79999999999998,48.6983157894736
19,2024-01-01,132.0,132.0,-2.0,0.09999999999999998,242.8799146334431,252.83192433038147,-1.2,0.21578947368421064,158.4,207.0983157894736
20,2024-01-01,127.75,127.75,-1.931114337822537,0.09999999999999998,-0.0,252.83192433038147,-1.2,0.1,56.21000000000005,263.3083157894736
21,2024-01-01,113.48,113.48,-0.23208758623569617,0.09999999999999998,-0.0,252.83192433038147,-1.2,0.1,-0.0,263.3083157894736
22,2024-01-01,109.18,109.18,-2.0,0.09999999999999998,-0.0,252.83192433038147,-1.2,0.1,-0.0,263.3083157894736
23,2024-01-01,107.2,107.2,-2.0,0.09999999999999998,-0.0,252.83192433038147,-1.2,0.1,-0.0,263.3083157894736
24,2024-01-02,105.49,105.49,-2.0,0.09999999999999998,-0.0,252.83192433038147,-1.2,0.1,-0.0,263.3083157894736
25,2024-01-02,90.09,90.09,-2.0,0.09999999999999998,-0.0,252.83192433038147,2.0,0.575,-180.18,83.12831578947362
26,2024-01-02,84.27,84.27,2.0,0.575,-168.54,84.29192433038148,2.0,0.9,-115.31684210526318,-32.18852631578956
27,2024-01-02,84.27,84.27,2.0,0.9,-115.31684210526318,-31.0249177748817,2.0,0.9,-0.0,-32.18852631578956
28,2024-01-02,84.27,84.27,0.12776500937106952,0.9,-0.0,-31.0249177748817,2.0,0.9,-0.0,-32.18852631578956
29,2024-01-02,100.0,100.0,2.0,0.9,-0.0,-31.0249177748817,2.0,0.9,-0.0,-32.18852631578956
30,2024-01-02,108.28,108.28,2.0,0.9,-0.0,-31.0249177748817,2.0,0.9,-0.0,-32.18852631578956
31,2024-01-02,113.85,113.85,2.0,0.9,-0.0,-31.0249177748817,-1.2,0.5842105263157895,136.61999999999998,104.43147368421042
32,2024-01-02,126.9,126.9,-2.0,0.37368421052631584,253.8,222.7750822251183,-1.2,0.268421052631579,152.28,256.71147368421043
33,2024-01-02,119.5,119.5,-2.0,0.09999999999999998,124.28000000000003,347.0550822251183,-1.2,0.1,76.48000000000002,333.19147368421045
34,2024-01-02,110.6,110.6,-0.8780035984739063,0.09999999999999998,-0.0,347.0550822251183,-1.2,0.1,-0.0,333.19147368421045
35,2024-01-02,108.28,108.28,-0.6315538521078303,0.09999999999999998,-0.0,347.0550822251183,-1.2,0.1,-0.0,333.19147368421045
36,2024-01-02,105.88,105.88,1.3684210526158636,0.42499999999626753,-144.88842105096762,202.1666611741507,-1.6,0.1,-0.0,333.19147368421045
37,2024-01-02,100.15,100.15,2.0,0.8999999999962676,-200.3,1.8666611741506927,2.0,0.575,-200.3,132.89147368421044
38,2024-01-02,108.28,108.28,1.9031367935123218,0.8999999999962676,-0.0,1.8666611741506927,2.0,0.9,-148.1726315789474,-15.281157894736964
39,2024-01-02,110.0,110.0,2.0,0.8999999999962676,-0.0,1.8666611741506927,2.0,0.9,-0.0,-15.281157894736964
40,2024-01-02,112.8,112.8,1.1739576559907636,0.8999999999962676,-0.0,1.8666611741506927,2.0,0.9,-0.0,-15.281157894736964
41,2024-01-02,129.99,129.99,-2.0,0.3736842105225834,259.98,261.8466611741507,-1.2,0.5842105263157895,155.988,140.70684210526304
42,2024-01-02,130.0,130.0,-2.0,0.09999999999999998,135.19999999815622,397.0466611723069,-1.2,0.268421052631579,156.0,296.70684210526304
43,2024-01-02,124.29,124.29,-2.0,0.09999999999999998,-0.0,397.0466611723069,-1.2,0.1,79.54560000000002,376.25244210526307
44,2024-01-02,111.26,111.26,-0.43981764273714247,0.09999999999999998,-0.0,397.0466611723069,-1.2,0.1,-0.0,376.25244210526307
45,2024-01-02,108.28,108.28,-1.1848263213524264,0.09999999999999998,-0.0,397.0466611723069,-1.2,0.1,-0.0,376.25244210526307
46,2024-01-02,106.0,106.0,-2.0,0.09999999999999998,-0.0,397.0466611723069,-1.2,0.1,-0.0,376.25244210526307
47,2024-01-02,92.41,92.41,-1.359213805922819,0.09999999999999998,-0.0,397.0466611723069,-1.2,0.1,-0.0,376.25244210526307
