time;P
20230112:1310;4946.9
20230112:1410;2860.7
20230112:1510;207.7
20230112:1610;0.0
20230112:1710;0.0
20230112:1810;0.0
20230112:1910;0.0
20230112:2010;0.0
20230112:2110;0.0
20230112:2210;0.0
20230112:2310;0.0
20230113:0010;0.0
20230113:0110;0.0
20230113:0210;0.0
20230113:0310;0.0
20230113:0410;0.0
20230113:0510;0.0
20230113:0610;0.0
20230113:0710;0.0
20230113:0810;277.4
20230113:0910;1236.6
20230113:1010;1662.2
20230113:1110;7378.400000000001
20230113:1210;2518.6000000000004
20230113:1310;5893.0
20230113:1410;4819.2
20230113:1510;126.7
20230113:1610;0.0
20230113:1710;0.0
20230113:1810;0.0
20230113:1910;0.0
20230113:2010;0.0
20230113:2110;0.0
20230113:2210;0.0
20230113:2310;0.0
20230114:0010;0.0
20230114:0110;0.0
20230114:0210;0.0
20230114:0310;0.0
20230114:0410;0.0
20230114:0510;0.0
20230114:0610;0.0
20230114:0710;0.0
20230114:0810;3442.5
20230114:0910;3968.8
20230114:1010;6230.299999999999
20230114:1110;6678.7
20230114:1210;6623.099999999999
20230114:1310;3958.6000000000004
20230114:1410;4023.5
20230114:1510;115.3
20230114:1610;0.0
20230114:1710;0.0
20230114:1810;0.0
20230114:1910;0.0
20230114:2010;0.0
20230114:2110;0.0
20230114:2210;0.0
20230114:2310;0.0
20230115:0010;0.0
20230115:0110;0.0
20230115:0210;0.0
20230115:0310;0.0
20230115:0410;0.0
20230115:0510;0.0
20230115:0610;0.0
20230115:0710;0.0
20230115:0810;1827.1000000000001
20230115:0910;2755.4
20230115:1010;5225.1
20230115:1110;5328.200000000001
20230115:1210;2876.9
20230115:1310;1090.6999999999998
20230115:1410;510.7
20230115:1510;158.6
20230115:1610;0.0
20230115:1710;0.0
20230115:1810;0.0
20230115:1910;0.0
20230115:2010;0.0
20230115:2110;0.0
20230115:2210;0.0
20230115:2310;0.0
20230116:0010;0.0
20230116:0110;0.0
20230116:0210;0.0
20230116:0310;0.0
20230116:0410;0.0
20230116:0510;0.0
20230116:0610;0.0
20230116:0710;0.0
20230116:0810;20.7
20230116:0910;231.1
20230116:1010;378.7
20230116:1110;370.0
20230116:1210;256.8
20230116:1310;164.7
20230116:1410;630.2
20230116:1510;173.29999999999998
20230116:1610;0.0
20230116:1710;0.0
20230116:1810;0.0
20230116:1910;0.0
20230116:2010;0.0
20230116:2110;0.0
20230116:2210;0.0
20230116:2310;0.0
20230117:0010;0.0
20230117:0110;0.0
20230117:0210;0.0
20230117:0310;0.0
20230117:0410;0.0
20230117:0510;0.0
20230117:0610;0.0
20230117:0710;0.0
20230117:0810;527.1
20230117:0910;372.2
20230117:1010;1964.9
20230117:1110;714.9
20230117:1210;377.29999999999995
20230117:1310;1991.1000000000001
20230117:1410;214.5
