time;P
20230113:0210;0.0
20230113:0310;0.0
20230113:0410;0.0
20230113:0510;0.0
20230113:0610;0.0
20230113:0710;0.0
20230113:0810;27.74
20230113:0910;123.66
20230113:1010;166.22
20230113:1110;737.84
20230113:1210;251.86
20230113:1310;589.3
20230113:1410;481.92
20230113:1510;12.67
20230113:1610;0.0
20230113:1710;0.0
20230113:1810;0.0
20230113:1910;0.0
20230113:2010;0.0
20230113:2110;0.0
20230113:2210;0.0
20230113:2310;0.0
20230114:0010;0.0
20230114:0110;0.0
20230114:0210;0.0
20230114:0310;0.0
20230114:0410;0.0
20230114:0510;0.0
20230114:0610;0.0
20230114:0710;0.0
20230114:0810;344.25
20230114:0910;396.88
20230114:1010;623.03
20230114:1110;667.87
20230114:1210;662.31
20230114:1310;395.86
20230114:1410;402.35
20230114:1510;11.53
20230114:1610;0.0
20230114:1710;0.0
20230114:1810;0.0
20230114:1910;0.0
20230114:2010;0.0
20230114:2110;0.0
20230114:2210;0.0
20230114:2310;0.0
20230115:0010;0.0
20230115:0110;0.0
20230115:0210;0.0
20230115:0310;0.0
20230115:0410;0.0
20230115:0510;0.0
20230115:0610;0.0
20230115:0710;0.0
20230115:0810;182.71
20230115:0910;275.54
20230115:1010;522.51
20230115:1110;532.82
20230115:1210;287.69
20230115:1310;109.07
20230115:1410;51.07
20230115:1510;15.86
20230115:1610;0.0
20230115:1710;0.0
20230115:1810;0.0
20230115:1910;0.0
20230115:2010;0.0
20230115:2110;0.0
20230115:2210;0.0
20230115:2310;0.0
20230116:0010;0.0
20230116:0110;0.0
20230116:0210;0.0
20230116:0310;0.0
20230116:0410;0.0
20230116:0510;0.0
20230116:0610;0.0
20230116:0710;0.0
20230116:0810;2.07
20230116:0910;23.11
20230116:1010;37.87
20230116:1110;37.0
20230116:1210;25.68
20230116:1310;16.47
20230116:1410;63.02
20230116:1510;17.33
20230116:1610;0.0
20230116:1710;0.0
20230116:1810;0.0
20230116:1910;0.0
20230116:2010;0.0
20230116:2110;0.0
20230116:2210;0.0
20230116:2310;0.0
20230117:0010;0.0
20230117:0110;0.0
20230117:0210;0.0
20230117:0310;0.0
20230117:0410;0.0
20230117:0510;0.0
20230117:0610;0.0
20230117:0710;0.0
20230117:0810;52.71
20230117:0910;37.22
20230117:1010;196.49
20230117:1110;71.49
20230117:1210;37.73
20230117:1310;199.11
20230117:1410;21.45
20230117:1510;18.07
20230117:1610;0.0
20230117:1710;0.0
20230117:1810;0.0
20230117:1910;0.0
20230117:2010;0.0
20230117:2110;0.0
20230117:2210;0.0
20230117:2310;0.0
20230118:0010;0.0
20230118:0110;0.0
20230118:0210;0.0
20230118:0310;0.0
20230118:0410;0.0
20230118:0510;0.0
20230118:0610;0.0
20230118:0710;0.0
20230118:0810;59.31
20230118:0910;87.41
20230118:1010;85.81
20230118:1110;102.32
20230118:1210;95.32
20230118:1310;83.18
20230118:1410;65.68
20230118:1510;27.06
20230118:1610;0.0
20230118:1710;0.0
20230118:1810;0.0
20230118:1910;0.0
20230118:2010;0.0
20230118:2110;0.0
20230118:2210;0.0
20230118:2310;0.0
20230119:0010;0.0
20230119:0110;0.0
20230119:0210;0.0
20230119:0310;0.0
20230119:0410;0.0
20230119:0510;0.0
20230119:0610;0.0
20230119:0710;0.0
20230119:0810;32.77
20230119:0910;542.18
20230119:1010;560.92
20230119:1110;585.96
20230119:1210;595.63
20230119:1310;649.33
20230119:1410;511.64
20230119:1510;32.17
20230119:1610;0.0
20230119:1710;0.0
20230119:1810;0.0
20230119:1910;0.0
20230119:2010;0.0
20230119:2110;0.0
20230119:2210;0.0
20230119:2310;0.0
20230120:0010;0.0
20230120:0110;0.0
20230120:0210;0.0
20230120:0310;0.0
20230120:0410;0.0
20230120:0510;0.0
20230120:0610;0.0
20230120:0710;0.0
20230120:0810;331.05
20230120:0910;570.01
20230120:1010;682.45
20230120:1110;685.1
20230120:1210;731.68
20230120:1310;683.15
20230120:1410;545.12
20230120:1510;11.72
20230120:1610;0.0
20230120:1710;0.0
20230120:1810;0.0
20230120:1910;0.0
20230120:2010;0.0
20230120:2110;0.0
20230120:2210;0.0
20230120:2310;0.0
20230121:0010;0.0
20230121:0110;0.0
20230121:0210;0.0
20230121:0310;0.0
20230121:0410;0.0
