datetime,baseline
2024-05-20 00:00:00,0.7473048254393376
2024-05-20 01:00:00,0.4877515718558829
2024-05-20 02:00:00,0.022283725709009605
2024-05-20 03:00:00,0.8284010755747437
2024-05-20 04:00:00,0.13880282073311045
2024-05-20 05:00:00,0.05221269271088924
2024-05-20 06:00:00,0.0005144015122362511
2024-05-20 07:00:00,-1.488800351961672
2024-05-20 08:00:00,4.214307398805435
2024-05-20 09:00:00,-7.536948906923505
2024-05-20 10:00:00,4.280511936303782
2024-05-20 11:00:00,-9.86481328454892
2024-05-20 12:00:00,2.5036515388001632
2024-05-20 13:00:00,-9.232828110945556
2024-05-20 14:00:00,-7.95629000238921
2024-05-20 15:00:00,5.656103860745233
2024-05-20 16:00:00,-0.37040000000000006
2024-05-20 17:00:00,-3.4343954795199956
2024-05-20 18:00:00,-3.944205505319661
2024-05-20 19:00:00,-0.5059596200667091
2024-05-20 20:00:00,2.1218005705758713e-06
2024-05-20 21:00:00,0.0003782852260889591
2024-05-20 22:00:00,1.1273368705877473e-05
2024-05-20 23:00:00,2.196
