Noise_Type,PSO_Profit,PPO_Profit,Difference,Diff_Pct,Winner
uniform,84506.39014074404,59367.21373116636,-25139.17640957768,-29.74825497540338,PSO
normal,84639.4783611905,31653.44964322969,-52986.02871796081,-62.602026552961775,PSO
ornstein-uhlenbeck,84691.46456120927,55037.51163763193,-29653.952923577344,-35.01409861928349,PSO
