Hour,Date,True_Price,Forecast_Price,PSO_Action,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Action,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,107.09,-2.0,0.09999999999999998,162.7768,162.7768,-1.88,0.09999999999999998,162.7768,162.7768
1,2024-01-01,104.0,104.0,-0.320048748637973,0.09999999999999998,-0.0,162.7768,-1.92,0.09999999999999998,-0.0,162.7768
2,2024-01-01,100.0,100.0,-2.0,0.09999999999999998,-0.0,162.7768,-1.92,0.09999999999999998,-0.0,162.7768
3,2024-01-01,85.66,85.66,2.0,0.575,-171.32,-8.543199999999985,1.7800000000000002,0.52275,-152.47480000000002,10.301999999999992
4,2024-01-01,85.0,85.0,2.0,0.9,-116.31578947368423,-124.85898947368422,1.98,0.9,-135.0157894736842,-124.71378947368422
5,2024-01-01,85.53,85.53,2.0,0.9,-0.0,-124.85898947368422,0.3799999999999999,0.9,-0.0,-124.71378947368422
6,2024-01-01,95.07,95.07,1.9266654950264885,0.9,-0.0,-124.85898947368422,1.98,0.9,-0.0,-124.71378947368422
7,2024-01-01,104.07,104.07,0.1338598490605071,0.9,-0.0,-124.85898947368422,1.98,0.9,-0.0,-124.71378947368422
8,2024-01-01,106.95,106.95,0.6798261219213374,0.9,-0.0,-124.85898947368422,1.98,0.9,-0.0,-124.71378947368422
9,2024-01-01,107.08,107.08,-2.0,0.37368421052631584,214.16,89.30101052631578,-1.22,0.5789473684210527,130.6376,5.923810526315776
10,2024-01-01,104.0,104.0,-1.7192302996577649,0.09999999999999998,108.16000000000003,197.46101052631582,-1.92,0.09999999999999998,189.28,195.20381052631578
11,2024-01-01,98.13,98.13,2.0,0.575,-196.26,1.2010105263158266,-1.92,0.09999999999999998,-0.0,195.20381052631578
12,2024-01-01,101.55,101.55,-0.0077014825518053566,0.575,-0.0,1.2010105263158266,-1.9,0.09999999999999998,-0.0,195.20381052631578
13,2024-01-01,98.16,98.16,2.0,0.9,-134.32421052631582,-133.1232,1.88,0.5465,-184.5408,10.663010526315787
14,2024-01-01,98.17,98.17,0.5538021865518555,0.9,-0.0,-133.1232,1.88,0.9,-146.11829473684213,-135.45528421052634
15,2024-01-01,105.54,105.54,1.9358471302499674,0.9,-0.0,-133.1232,1.6400000000000001,0.9,-0.0,-135.45528421052634
16,2024-01-01,110.0,110.0,2.0,0.9,-0.0,-133.1232,0.3799999999999999,0.9,-0.0,-135.45528421052634
17,2024-01-01,120.04,120.04,1.2733271145839031,0.9,-0.0,-133.1232,1.7400000000000002,0.9,-0.0,-135.45528421052634
18,2024-01-01,131.5,131.5,-1.2690022483129488,0.5660520399176451,166.87379565315277,33.75059565315277,-1.94,0.3894736842105263,255.10999999999999,119.65471578947364
19,2024-01-01,132.0,132.0,-2.0,0.09999999999999998,233.77170322269075,267.5222988758435,-1.94,0.09999999999999998,145.20000000000002,264.85471578947363
20,2024-01-01,127.75,127.75,-2.0,0.09999999999999998,-0.0,267.5222988758435,-0.24,0.09999999999999998,-0.0,264.85471578947363
21,2024-01-01,113.48,113.48,-2.0,0.09999999999999998,-0.0,267.5222988758435,-1.94,0.09999999999999998,-0.0,264.85471578947363
