Noise_Type,PSO_Profit,PPO_Profit,Difference,Diff_Pct,Winner
uniform,-192.128753989129,-111499.51837731342,-111307.38962332428,-57933.74875559869,PSO
normal,2179.3608192650754,-89905.26552033008,-92084.62633959515,-4225.304296818916,PSO
ornstein-uhlenbeck,-694.0112660023985,-85191.81763914842,-84497.80637314601,-12175.278776073066,PSO
