Ora,Prezzo_Vero,Prezzo_Forecast,Errore_Pct,PSO_Azione,PSO_SOC,PSO_Profitto_Cum,PPO_Azione,PPO_SOC,PPO_Profitto_Cum
0,107.09,91.0265,-15.0,0.1970747463829161,0.5468052522659426,-21.10473459014649,-1.76,0.09999999999999998,154.63796
1,104.0,113.62111910363285,9.251076061185431,0.8490137409065928,0.7484460157312584,-109.40216364443214,1.58,0.47524999999999995,-9.68204
2,100.0,98.54087209505825,-1.4591279049417496,0.8851144504733535,0.9,-173.2143675470602,-1.76,0.09999999999999998,125.78320999999997
3,85.66,75.3993579801699,-11.978335302159826,-0.02989605393382977,0.8921326173858343,-170.78151636608692,2.0,0.575,-45.536790000000025
4,85.0,72.25,-15.0,-1.648265128364888,0.45837863623717956,-37.68410725062222,2.0,0.9,-161.85257947368427
5,85.53,72.7005,-15.0,1.8983176772961472,0.9,-196.72358195644975,-1.84,0.4157894736842105,-12.346139473684275
6,95.07,99.55891624016844,4.72169584534389,0.11310960072676002,0.9,-196.72358195644975,2.0,0.8907894736842105,-202.48613947368426
7,104.07,88.45949999999999,-15.0,-1.6702404112119305,0.46046304968107094,-31.592758341365453,-1.84,0.40657894736842093,-20.571779473684273
8,106.95,122.99249999999999,15.0,1.8693765140054812,0.9,-229.52318712708953,-1.84,0.09999999999999998,97.79513302631567
9,107.08,123.14199999999998,15.0,0.811443342839925,0.9,-229.52318712708953,2.0,0.575,-116.36486697368433
10,104.0,119.6,15.0,0.1424068808792769,0.9,-229.52318712708953,-1.84,0.09999999999999992,61.969133026315646
11,98.13,112.84949999999999,15.0,0.752369982987033,0.9,-229.52318712708953,2.0,0.575,-134.29086697368433
12,101.55,87.33942895929619,-13.993669168590664,1.7672540326442423,0.9,-229.52318712708953,2.0,0.9,-273.2540248684212
13,98.16,83.43599999999999,-15.0,0.1686637062902281,0.9,-229.52318712708953,2.0,0.9,-273.2540248684212
14,98.17,112.8955,15.0,0.29441708084692797,0.9,-229.52318712708953,-1.8599999999999999,0.41052631578947374,-99.78763486842121
