Ora,Prezzo_Vero,Prezzo_Forecast,Errore_Pct,PSO_Azione,PSO_SOC,PSO_Profitto_Cum,PPO_Azione,PPO_SOC,PPO_Profitto_Cum
0,107.09,103.14756620533207,-3.681421042737823,0.060700681334926454,0.514416411817045,-6.500435964157274,-1.8599999999999999,0.09999999999999998,154.63796
1,104.0,109.22176041593339,5.020923476859032,1.550642246028763,0.8826939452488762,-167.76722955114863,-1.8599999999999999,0.09999999999999998,154.63796
2,100.0,107.92936308427406,7.9293630842740495,1.2551857934702069,0.9,-175.05398944635866,-1.54,0.09999999999999998,154.63796
3,85.66,90.50895139003927,5.660695061918375,-1.597811637775369,0.47952325321700817,-45.028871799112466,-1.54,0.09999999999999998,154.63796
4,85.0,88.8053272023756,4.476855532206586,0.048260939063316854,0.49098522624454594,-49.1310516194944,0.98,0.33275,71.33796
5,85.53,84.8141281122693,-0.8369833832932327,0.5082186978369729,0.611687166980827,-92.59899684549069,-1.54,0.10000000000000003,143.20261807499998
6,95.07,84.17800733638815,-11.456813572748336,1.5617297211530539,0.9,-208.00910646710236,1.94,0.5607500000000001,-41.233181925
7,104.07,95.09425198358369,-8.624721837624975,0.4967235180397105,0.9,-208.00910646710236,-1.54,0.1554868421052632,111.02122807499998
8,106.95,108.1000484743239,1.0753141414903022,-0.32059418045398935,0.8156331104068449,-175.4359362475259,1.94,0.6162368421052632,-96.46177192500002
9,107.08,92.74195030612401,-13.390035201602526,-1.6075188943925975,0.39260182240879293,-11.909469196544507,-1.54,0.2109736842105263,60.19626807499995
10,104.0,110.20318241020047,5.964598471346597,0.28279356429744773,0.45976529392943677,-41.31999988347907,1.98,0.6812236842105264,-145.72373192500004
11,98.13,91.15182683605288,-7.111151700751167,-1.7876747020758916,0.09999999999999998,86.12660365531815,-1.54,0.2759605263157895,-2.1595419250000703
12,101.55,90.95022861080356,-10.437982657997479,0.5310409683542319,0.22612222998413004,32.1993933189459,1.98,0.7462105263157894,-203.22854192500006
13,98.16,91.96787265810792,-6.308198188561611,1.5818516342907714,0.6018119931281882,-123.0751631030362,-1.54,0.34094736842105255,-59.620461925000086
14,98.17,96.63801065403301,-1.560547362704476,0.1902338101109926,0.646992523029549,-141.75041624163234,1.98,0.8111973684210525,-253.99706192500008
15,105.54,119.05357895738906,12.804224898037772,-0.7492950965651355,0.44980960288082916,-66.62384197472215,-1.54,0.4059342105263156,-99.59204192500007
16,110.0,118.77652080362729,7.978655276024807,-0.3386743030743533,0.36068478628231515,-31.232377303452232,-1.54,0.09999999999999998,21.89443307499984
17,120.04,110.71318509799053,-7.769755833063536,1.901186044173913,0.8122164717736196,-259.45075004608873,1.98,0.5702499999999999,-215.78476692500016
18,131.5,113.68800003840691,-13.545247119082191,-1.1048921522028894,0.5214553790886487,-121.42209793214278,-1.54,0.16498684210526304,-23.40026692500018
19,132.0,130.25052852494133,-1.325357178074757,-0.29723767759078434,0.44323493761738963,-84.14849316225843,1.98,0.635236842105263,-284.7602669250002
20,127.75,139.17094057459087,8.94007089987544,-0.8601282999766688,0.21688538499195045,20.23882764366003,-1.54,0.2299736842105261,-97.86201692500023
21,113.48,104.47236696294252,-7.937639264238179,-0.23513411003153584,0.1550079876152305,45.58769550971978,-1.54,0.1,-44.616633525000324
22,109.18,111.84315975330851,2.439237729720181,0.838089728297458,0.35405429808587674,-45.91494102579669,1.94,0.56075,-256.4258335250003
23,107.2,109.54285168856194,2.185495978136137,1.1073948028654494,0.617060563766421,-164.62766389297286,-1.54,0.1554868421052631,-99.59223352500032
24,105.49,91.56787414380442,-13.197578781112504,-1.8840809619815833,0.12124978429758332,24.186451752492474,1.6,0.5354868421052631,-268.3762335250003
25,90.09,93.4976530215695,3.782498636440784,0.10458702894275751,0.14608920367148823,14.764206315039448,-1.8599999999999999,0.09999999999999998,-126.74506885000037
26,84.27,74.09477693082725,-12.074549743886005,0.6833356891862086,0.30838142985321276,-42.82049221268234,1.94,0.56075,-290.22886885000037
27,84.27,92.72696402921592,10.035557172440877,-0.7157109774165393,0.12003643579622872,14.476823650864837,-1.54,0.1554868421052631,-166.9418588500004
28,84.27,87.07146129345769,3.324387437353382,1.5292040653287522,0.4832224013118074,-114.38920293438909,-1.8599999999999999,0.1,-150.0619458250004
29,100.0,96.71860004544428,-3.2813999545557193,1.5521492187565875,0.851857840766497,-269.60412481004784,1.94,0.56075,-344.0619458250004
30,108.28,110.14941620559338,1.7264649109654444,-1.647710387258055,0.4182498441196404,-100.11074811436077,-1.54,0.1554868421052631,-185.64830582500042
31,113.85,105.30474078842951,-7.5057173575498375,-0.6874671174875417,0.23733744478081362,-25.75602335470198,1.04,0.4024868421052631,-304.0523058250004
32,126.9,114.08404450411389,-10.099255709918134,1.9173701489648152,0.6927128551599572,-269.070295258337,-1.54,0.09999999999999998,-165.48036107500045
33,119.5,103.31207094205983,-13.546384148903906,-1.2050490255778694,0.375594690534202,-132.2671046296094,1.98,0.5702499999999999,-402.09036107500043
34,110.6,114.43528575871503,3.467708642599479,-0.976753510757995,0.1185542929663086,-29.639613254266877,-1.54,0.16498684210526304,-240.28256107500044
35,108.28,102.14340461904015,-5.667339657332689,-1.5629342965033635,0.1,-22.38691083323214,1.8000000000000003,0.5924868421052631,-435.18656107500044
