Hour,Date,True_Price,Forecast_Price,PSO_Energy_Actual,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Energy_Actual,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,109.16042526404568,-1.52,0.1,162.7768,162.7768,-1.52,0.1,162.7768,162.7768
1,2024-01-01,104.0,113.28037672716067,0.0,0.1,-0.0,162.7768,0.0,0.1,-0.0,162.7768
2,2024-01-01,100.0,102.28700938246322,0.0,0.1,-0.0,162.7768,0.0,0.1,-0.0,162.7768
3,2024-01-01,85.66,90.0438117307929,0.0,0.1,-0.0,162.7768,2.0,0.575,-171.32,-8.543199999999985
4,2024-01-01,85.0,84.70340872240939,1.36842105263164,0.4250000000000145,-116.3157894736894,46.4610105263106,1.3684210526315792,0.9,-116.31578947368423,-124.85898947368422
5,2024-01-01,85.53,77.78951914747994,1.9999999999999392,0.9,-171.0599999999948,-124.5989894736842,0.0,0.9,-0.0,-124.85898947368422
6,2024-01-01,95.07,102.20497831282235,0.0,0.9,-0.0,-124.5989894736842,0.0,0.9,-0.0,-124.85898947368422
7,2024-01-01,104.07,114.36303065492842,-2.0,0.37368421052631584,208.14,83.54101052631579,0.0,0.9,-0.0,-124.85898947368422
8,2024-01-01,106.95,116.80784038985517,-1.0400000000000003,0.1,111.22800000000004,194.7690105263158,-2.0,0.37368421052631584,213.9,89.04101052631579
9,2024-01-01,107.08,96.71525303399906,2.0,0.575,-214.16,-19.390989473684186,-1.0400000000000003,0.1,111.36320000000002,200.4042105263158
10,2024-01-01,104.0,111.29582561380327,-1.805,0.1,187.72,168.3290105263158,0.0,0.1,-0.0,200.4042105263158
11,2024-01-01,98.13,100.7002604388061,2.0,0.575,-196.26,-27.93098947368418,0.0,0.1,-0.0,200.4042105263158
12,2024-01-01,101.55,102.49472678963274,0.0,0.575,-0.0,-27.93098947368418,0.0,0.1,-0.0,200.4042105263158
13,2024-01-01,98.16,107.89358224015808,-0.5999999999999979,0.41710526315789526,58.89599999999979,30.96501052631561,2.0,0.575,-196.32,4.084210526315815
14,2024-01-01,98.17,99.27433778879144,2.0,0.8921052631578952,-196.34,-165.3749894736844,1.3684210526315792,0.9,-134.33789473684214,-130.25368421052633
15,2024-01-01,105.54,100.16731124236394,0.03324099722991513,0.9,-3.508254847645243,-168.88324432132964,0.0,0.9,-0.0,-130.25368421052633
16,2024-01-01,110.0,113.42170783372646,0.0,0.9,-0.0,-168.88324432132964,0.0,0.9,-0.0,-130.25368421052633
17,2024-01-01,120.04,124.66156210000646,0.0,0.9,-0.0,-168.88324432132964,0.0,0.9,-0.0,-130.25368421052633
18,2024-01-01,131.5,127.00213723374495,-2.0,0.37368421052631584,263.0,94.11675567867036,-2.0,0.37368421052631584,263.0,132.74631578947367
19,2024-01-01,132.0,123.67207128897594,-1.0400000000000003,0.1,137.28000000000003,231.3967556786704,-1.0400000000000003,0.1,137.28000000000003,270.0263157894737
20,2024-01-01,127.75,118.73140015328296,0.0,0.1,-0.0,231.3967556786704,0.0,0.1,-0.0,270.0263157894737
21,2024-01-01,113.48,121.01481917909453,0.0,0.1,-0.0,231.3967556786704,0.0,0.1,-0.0,270.0263157894737
22,2024-01-01,109.18,101.33440326533203,0.0,0.1,-0.0,231.3967556786704,0.0,0.1,-0.0,270.0263157894737
23,2024-01-01,107.2,113.10323663104296,0.0,0.1,-0.0,231.3967556786704,0.0,0.1,-0.0,270.0263157894737
24,2024-01-02,105.49,111.36444892003745,0.0,0.1,-0.0,231.3967556786704,0.0,0.1,-0.0,270.0263157894737
25,2024-01-02,90.09,83.12440465482075,2.0,0.575,-180.18,51.21675567867038,0.0,0.1,-0.0,270.0263157894737
26,2024-01-02,84.27,82.87448083828414,1.3684210526315792,0.9,-115.31684210526318,-64.1000864265928,2.0,0.575,-168.54,101.48631578947371
27,2024-01-02,84.27,92.29815619815751,0.0,0.9,-0.0,-64.1000864265928,1.3684210526315792,0.9,-115.31684210526318,-13.83052631578947
28,2024-01-02,84.27,82.15545735032032,0.0,0.9,-0.0,-64.1000864265928,0.0,0.9,-0.0,-13.83052631578947
29,2024-01-02,100.0,95.66065678964716,0.0,0.9,-0.0,-64.1000864265928,0.0,0.9,-0.0,-13.83052631578947
30,2024-01-02,108.28,109.28078723349299,0.0,0.9,-0.0,-64.1000864265928,0.0,0.9,-0.0,-13.83052631578947
31,2024-01-02,113.85,115.35014527254295,-2.0,0.37368421052631584,227.7,163.5999135734072,0.0,0.9,-0.0,-13.83052631578947
32,2024-01-02,126.9,128.4248510966911,-1.0400000000000003,0.1,131.97600000000003,295.5759135734072,-2.0,0.37368421052631584,253.8,239.96947368421053
33,2024-01-02,119.5,121.08298255374932,0.0,0.1,-0.0,295.5759135734072,-1.0400000000000003,0.1,124.28000000000003,364.24947368421056
34,2024-01-02,110.6,112.27710957514854,0.0,0.1,-0.0,295.5759135734072,0.0,0.1,-0.0,364.24947368421056
35,2024-01-02,108.28,117.39158704591792,0.0,0.1,-0.0,295.5759135734072,0.0,0.1,-0.0,364.24947368421056
36,2024-01-02,105.88,98.31232349855121,1.3684210529911043,0.4250000000853873,-144.8884210906981,150.6874924827091,0.0,0.1,-0.0,364.24947368421056
37,2024-01-02,100.15,97.18815537989217,1.9999999996404747,0.9,-200.29999996399354,-49.61250748128444,2.0,0.575,-200.3,163.94947368421055
38,2024-01-02,108.28,109.33080888539567,0.0,0.9,-0.0,-49.61250748128444,1.3684210526315792,0.9,-148.1726315789474,15.776842105263142
39,2024-01-02,110.0,120.53894922673234,0.0,0.9,-0.0,-49.61250748128444,0.0,0.9,-0.0,15.776842105263142
40,2024-01-02,112.8,122.47907894288431,-2.0,0.37368421052631584,225.6,175.98749251871556,0.0,0.9,-0.0,15.776842105263142
41,2024-01-02,129.99,128.04121321248758,0.9529084987237944,0.599999978973217,-123.86857574910604,52.11891676960951,0.0,0.9,-0.0,15.776842105263142
42,2024-01-02,130.0,119.10883676569946,-1.8999999200982245,0.1,246.99998961276918,299.11890638237867,-2.0,0.37368421052631584,260.0,275.77684210526314
43,2024-01-02,124.29,115.29471027400807,0.0,0.1,-0.0,299.11890638237867,-1.0400000000000003,0.1,129.26160000000004,405.0384421052632
44,2024-01-02,111.26,117.38305521858824,0.0,0.1,-0.0,299.11890638237867,0.0,0.1,-0.0,405.0384421052632
45,2024-01-02,108.28,111.10954103957057,0.0,0.1,-0.0,299.11890638237867,0.0,0.1,-0.0,405.0384421052632
46,2024-01-02,106.0,102.29827243812085,0.0,0.1,-0.0,299.11890638237867,0.0,0.1,-0.0,405.0384421052632
47,2024-01-02,92.41,97.18120598492796,0.0,0.1,-0.0,299.11890638237867,0.0,0.1,-0.0,405.0384421052632
48,2024-01-03,82.5,76.69627483409873,0.0,0.1,-0.0,299.11890638237867,0.0,0.1,-0.0,405.0384421052632
49,2024-01-03,70.1,63.821485591784274,0.0,0.1,-0.0,299.11890638237867,0.0,0.1,-0.0,405.0384421052632
50,2024-01-03,50.21346,50.327074680948186,1.3684210526752367,0.42500000001036875,-68.71315579166588,230.40575059071278,2.0,0.575,-100.42692,304.6115221052632
51,2024-01-03,40.0,37.11717668807877,1.9999999999563423,0.9,-79.99999999825368,150.4057505924591,1.3684210526315792,0.9,-54.736842105263165,249.87468
52,2024-01-03,50.0,51.64578881392524,0.0,0.9,-0.0,150.4057505924591,0.0,0.9,-0.0,249.87468
53,2024-01-03,75.0,75.49092727670654,0.0,0.9,-0.0,150.4057505924591,0.0,0.9,-0.0,249.87468
54,2024-01-03,95.46,90.32949791062808,0.0,0.9,-0.0,150.4057505924591,0.0,0.9,-0.0,249.87468
55,2024-01-03,108.28,103.76510742573736,0.0,0.9,-0.0,150.4057505924591,0.0,0.9,-0.0,249.87468
56,2024-01-03,114.99561,112.41241408953175,-1.200000008782804,0.5842105240045252,137.9947330099839,288.400483602443,-2.0,0.37368421052631584,229.99122,479.8659
57,2024-01-03,113.34489,105.63398036888984,0.0,0.5842105240045252,-0.0,288.400483602443,-1.0400000000000003,0.1,117.87868560000004,597.7445856
58,2024-01-03,107.85233,107.15366404293444,0.0664820020576739,0.5999999994932228,-7.170238824984925,281.23024477745804,0.0,0.1,-0.0,597.7445856
59,2024-01-03,105.0,104.58855821394319,-1.8999999980742466,0.1,199.49999979779588,480.7302445752539,0.0,0.1,-0.0,597.7445856
60,2024-01-03,92.04644,97.70648219764631,0.0,0.1,-0.0,480.7302445752539,2.0,0.575,-184.09288,413.6517056
61,2024-01-03,91.59366,92.10054122121215,0.0,0.1,-0.0,480.7302445752539,1.3684210526315792,0.9,-125.33869263157897,288.31301296842105
62,2024-01-03,97.50897,93.99151228747998,0.0,0.1,-0.0,480.7302445752539,0.0,0.9,-0.0,288.31301296842105
63,2024-01-03,106.02775,104.10469477706039,2.0,0.575,-212.0555,268.6747445752539,0.0,0.9,-0.0,288.31301296842105
64,2024-01-03,109.7411,107.77363228377165,1.3684210526315792,0.9,-150.1720315789474,118.50271299630649,0.0,0.9,-0.0,288.31301296842105
65,2024-01-03,115.81,107.16650887992675,0.0,0.9,-0.0,118.50271299630649,0.0,0.9,-0.0,288.31301296842105
