Ora,Prezzo_Vero,PSO_Azione,PSO_SOC,PSO_Profitto_Istantaneo,PSO_Profitto_Cum,PPO_Azione,PPO_SOC,PPO_Profitto_Istantaneo,PPO_Profitto_Cum
0,107.09,1.325426581089026,0.8147888130086436,-141.9399325688238,-141.9399325688238,-0.96,0.24736842105263157,97.66608,97.66608
1,104.0,1.3612585972170623,0.9,-37.31353030358345,-179.25346287240723,-1.72,0.1,55.32799999999999,152.99408
2,100.0,-1.7869800454987286,0.4297420932898083,169.7631043223792,-9.49035855002802,-0.6599999999999999,0.1,-0.0,152.99408
3,85.66,0.33516560619435554,0.5093439247609677,-28.710285826608494,-38.20064437663652,1.6800000000000002,0.499,-143.9088,9.085279999999983
4,85.0,-0.6599854592734804,0.33566354074163074,53.293825836333546,15.093181459697028,1.6400000000000001,0.8885000000000001,-139.4,-130.31472000000002
5,85.53,-1.9376927832787634,0.1,72.76425252907035,87.85743398876738,1.6400000000000001,0.9,-4.1414526315789315,-134.45617263157897
6,95.07,0.20590367171652746,0.14890212203267528,-19.575262070090265,68.28217191867712,1.6400000000000001,0.9,-0.0,-134.45617263157897
7,104.07,1.0445255344199498,0.39697693645741333,-108.70377236708417,-40.42160044840705,1.6800000000000002,0.9,-0.0,-134.45617263157897
8,106.95,1.1976640751133392,0.6814221542968314,-128.09017283337164,-168.5117732817787,1.48,0.9,-0.0,-134.45617263157897
9,107.08,1.6688818292885643,0.9,-98.54869775955915,-267.06047104133785,-1.72,0.4473684210526316,174.96872,40.512547368421025
10,104.0,-0.03600090881748752,0.890526076626977,3.556889791167767,-263.5035812501701,-1.54,0.10000000000000003,130.41599999999997,170.928547368421
11,98.13,1.2698810355774328,0.9,-3.914425686714723,-267.4180069368848,0.14000000000000012,0.13325000000000006,-13.738200000000012,157.190347368421
12,101.55,1.5587772102263981,0.9,-0.0,-267.4180069368848,0.14000000000000012,0.1665000000000001,-14.217000000000013,142.97334736842097
13,98.16,0.9723700717349018,0.9,-0.0,-267.4180069368848,0.10000000000000009,0.1902500000000001,-9.816000000000008,133.15734736842097
14,98.17,0.5685417128068635,0.9,-0.0,-267.4180069368848,0.10000000000000009,0.21400000000000013,-9.817000000000009,123.34034736842096
15,105.54,0.8327983432219197,0.9,-0.0,-267.4180069368848,-1.74,0.1,43.433931600000044,166.77427896842102
16,110.0,1.7864923380592184,0.9,-0.0,-267.4180069368848,-0.3799999999999999,0.1,-0.0,166.77427896842102
17,120.04,-0.1453413022090735,0.8617522888923491,16.57443142131832,-250.8435755155665,-1.68,0.1,-0.0,166.77427896842102
18,131.5,0.35826274453599716,0.9,-21.17715372907829,-272.02072924464477,-1.68,0.1,-0.0,166.77427896842102
19,132.0,1.093045892553533,0.9,-0.0,-272.02072924464477,-1.68,0.1,-0.0,166.77427896842102
20,127.75,-0.508218198277695,0.7662583688742908,61.678631088476756,-210.34209815616802,-1.68,0.1,-0.0,166.77427896842102
21,113.48,-0.3997123696783027,0.6610709031694743,43.0913917255391,-167.25070643062892,-0.28,0.1,-0.0,166.77427896842102
22,109.18,1.6363587647165772,0.9,-109.83696333455498,-277.08766976518393,-1.22,0.1,-0.0,166.77427896842102
23,107.2,0.7664042788446155,0.9,-0.0,-277.08766976518393,-1.72,0.1,-0.0,166.77427896842102
24,105.49,-1.833774238443302,0.4174278319886047,183.77260219271471,-93.31506757246922,-0.28,0.1,-0.0,166.77427896842102
25,90.09,-0.39958463711339354,0.3122739801166591,34.19865095966834,-59.116416612800876,-0.32000000000000006,0.1,-0.0,166.77427896842102
26,84.27,0.9852024185995045,0.5462595545340414,-83.02300781538024,-142.13942442818112,1.6800000000000002,0.499,-141.5736,25.200678968421016
27,84.27,-1.4238659573355505,0.17155798681415968,113.9897250134335,-28.149699414747616,1.6800000000000002,0.898,-141.5736,-116.37292103157898
28,84.27,1.5050874716165739,0.529016261323096,-126.83372123312867,-154.9834206478763,0.14000000000000012,0.898,-0.0,-116.37292103157898
29,100.0,1.0679487182033207,0.7826540818963846,-106.79487182033208,-261.7782924682084,1.6400000000000001,0.898,-0.0,-116.37292103157898
30,108.28,-1.989696052711508,0.2590498574986193,204.67207415822196,-57.106218309986446,1.6400000000000001,0.898,-0.0,-116.37292103157898
31,113.85,-1.9665934009623727,0.1,65.36925285714628,8.263034547159833,0.14000000000000012,0.898,-0.0,-116.37292103157898
32,126.9,-1.263900699045001,0.1,-0.0,8.263034547159833,0.14000000000000012,0.898,-0.0,-116.37292103157898
