Ora,Prezzo_Vero,PSO_Azione,PSO_SOC,PSO_Profitto_Istantaneo,PSO_Profitto_Cum,PPO_Azione,PPO_SOC,PPO_Profitto_Istantaneo,PPO_Profitto_Cum
0,107.09,-0.26433211317869487,0.430438917584554,26.891959700291114,26.891959700291114,-0.3599999999999999,0.4052631578947369,36.62477999999999,36.62477999999999
1,104.0,-0.04527229001140576,0.4185251570552367,4.472902253126889,31.364861953418004,-1.88,0.09999999999999998,114.608,151.23278
2,100.0,0.4249174131530835,0.519443042679094,-42.49174131530835,-11.12687936189035,-1.82,0.09999999999999998,-0.0,151.23278
3,85.66,1.7492209433179942,0.9,-137.25687984887918,-148.38375921076954,-1.2,0.09999999999999998,-0.0,151.23278
4,85.0,0.03442953308190022,0.9,-0.0,-148.38375921076954,-1.12,0.09999999999999998,-0.0,151.23278
5,85.53,1.5327451582160743,0.9,-0.0,-148.38375921076954,-0.26,0.09999999999999998,-0.0,151.23278
6,95.07,-0.043606155460235385,0.8885246959315171,3.9383553396243487,-144.4454038711452,-0.32000000000000006,0.09999999999999998,-0.0,151.23278
7,104.07,0.4272186027601754,0.9,-5.028357450134829,-149.47376132128002,-1.24,0.09999999999999998,-0.0,151.23278
8,106.95,0.2614984676803389,0.9,-0.0,-149.47376132128002,-1.78,0.09999999999999998,-0.0,151.23278
9,107.08,0.6865922885404725,0.9,-0.0,-149.47376132128002,-0.30000000000000004,0.09999999999999998,-0.0,151.23278
10,104.0,0.6356898927026573,0.9,-0.0,-149.47376132128002,-1.6400000000000001,0.09999999999999998,-0.0,151.23278
11,98.13,1.5426294486841976,0.9,-0.0,-149.47376132128002,-1.4,0.09999999999999998,-0.0,151.23278
12,101.55,0.1092499041809436,0.9,-0.0,-149.47376132128002,-1.72,0.09999999999999998,-0.0,151.23278
13,98.16,-0.8648889389532566,0.6723976476438799,80.65262333526908,-68.82113798601094,-0.19999999999999996,0.09999999999999998,-0.0,151.23278
14,98.17,-0.4750636867352731,0.5473808879767027,44.305152020461676,-24.515985965549262,-1.2999999999999998,0.09999999999999998,-0.0,151.23278
15,105.54,1.6782452540751591,0.9,-156.69650982290023,-181.21249578844947,-0.32000000000000006,0.09999999999999998,-0.0,151.23278
16,110.0,-0.10243973184755184,0.8730421758295916,10.704951978069166,-170.5075438103803,-1.48,0.09999999999999998,-0.0,151.23278
