Ora,Prezzo_Vero,PSO_Azione,PSO_SOC,PSO_Profitto_Istantaneo,PSO_Profitto_Cum,PPO_Azione,PPO_SOC,PPO_Profitto_Istantaneo,PPO_Profitto_Cum
0,107.09,-1.4047941810134987,0.13031732078592134,142.9174384024988,142.9174384024988,0.08000000000000007,0.519,-8.567200000000009,-8.567200000000009
1,104.0,-1.066943075357826,0.1,11.382334915866306,154.29977331836508,-1.8,0.09999999999999998,157.30936,148.74215999999998
2,100.0,0.06761718469276756,0.1160590813645323,-6.761718469276756,147.53805484908833,-0.94,0.09999999999999998,-0.0,148.74215999999998
3,85.66,-0.3370752563547983,0.1,4.965991483965869,152.5040463330542,-0.45999999999999996,0.09999999999999998,-0.0,148.74215999999998
4,85.0,-1.1144638381730334,0.1,-0.0,152.5040463330542,-1.54,0.09999999999999998,-0.0,148.74215999999998
5,85.53,1.890616001972258,0.5490213004684112,-161.70438664868723,-9.200340315633042,-0.26,0.09999999999999998,-0.0,148.74215999999998
6,95.07,0.551316176219653,0.6799588923205788,-52.413628873202406,-61.61396918883545,-1.96,0.09999999999999998,-0.0,148.74215999999998
7,104.07,0.10631303420176419,0.7052082379434979,-11.063997469377599,-72.67796665821305,-1.08,0.09999999999999998,-0.0,148.74215999999998
8,106.95,0.2083100198575356,0.7546818676596625,-22.278756623763435,-94.95672328197648,-1.08,0.09999999999999998,-0.0,148.74215999999998
9,107.08,-1.685645693066785,0.3110908957999822,171.47399377291174,76.51727049093526,-0.45999999999999996,0.09999999999999998,-0.0,148.74215999999998
10,104.0,-0.3048637507848784,0.23086359296185632,30.120538577545982,106.63780906848125,-1.72,0.09999999999999998,-0.0,148.74215999999998
11,98.13,-1.6254982961364788,0.1,46.358336202222524,152.99614527070378,-0.26,0.09999999999999998,-0.0,148.74215999999998
12,101.55,0.011168193831756046,0.10265244603504206,-1.1341300836148265,151.86201518708896,-1.06,0.09999999999999998,-0.0,148.74215999999998
13,98.16,-1.1107700042610662,0.1,0.9399144111070186,152.80192959819598,-0.6399999999999999,0.09999999999999998,-0.0,148.74215999999998
14,98.17,1.752898921099023,0.5163134937610179,-172.0820870842911,-19.280157486095106,-1.8,0.09999999999999998,-0.0,148.74215999999998
15,105.54,-1.676541597298597,0.09999999999999998,158.61519133485154,139.33503384875644,-1.3399999999999999,0.09999999999999998,-0.0,148.74215999999998
16,110.0,0.6227248654627928,0.24789715554741326,-68.49973520090721,70.83529864784923,-0.06000000000000005,0.09999999999999998,-0.0,148.74215999999998
17,120.04,-0.5373029876081103,0.10650163249264738,61.27295810085369,132.10825674870293,-1.68,0.09999999999999998,-0.0,148.74215999999998
18,131.5,1.969777230029456,0.5743237246246431,-259.02570574887346,-126.91744900017054,-0.1399999999999999,0.09999999999999998,-0.0,148.74215999999998
19,132.0,1.9242330355850705,0.9,-181.00744568230365,-307.9248946824742,-0.54,0.09999999999999998,-0.0,148.74215999999998
