Hour,Date,True_Price,Forecast_Price,PSO_Action,PSO_SOC,PSO_Instant_Profit,PSO_Cumulative_Profit,PPO_Action,PPO_SOC,PPO_Instant_Profit,PPO_Cumulative_Profit
0,2024-01-01,107.09,164.5974136882056,-2.0,0.09999999999999998,162.7768,162.7768,-2.0,0.09999999999999998,162.7768,162.7768
1,2024-01-01,104.0,192.561695272223,-2.0,0.09999999999999998,-0.0,162.7768,-2.0,0.09999999999999998,-0.0,162.7768
2,2024-01-01,100.0,155.2915422210845,-2.0,0.09999999999999998,-0.0,162.7768,-2.0,0.09999999999999998,-0.0,162.7768
3,2024-01-01,85.66,149.35616518915506,-2.0,0.09999999999999998,-0.0,162.7768,-2.0,0.09999999999999998,-0.0,162.7768
4,2024-01-01,85.0,121.9153392508423,-1.3229222574760275,0.09999999999999998,-0.0,162.7768,1.8000000000000003,0.5275000000000001,-153.00000000000003,9.77679999999998
5,2024-01-01,85.53,119.31087346181428,2.0,0.575,-171.06,-8.283199999999994,1.8000000000000003,0.9,-134.14705263157893,-124.37025263157895
6,2024-01-01,95.07,108.45587133645081,2.0,0.9,-130.09578947368422,-138.37898947368421,1.8000000000000003,0.9,-0.0,-124.37025263157895
7,2024-01-01,104.07,153.0832496275905,2.0,0.9,-0.0,-138.37898947368421,1.8000000000000003,0.9,-0.0,-124.37025263157895
8,2024-01-01,106.95,118.42688333667866,0.048226888709878395,0.9,-0.0,-138.37898947368421,1.8000000000000003,0.9,-0.0,-124.37025263157895
9,2024-01-01,107.08,112.85552955822516,2.0,0.9,-0.0,-138.37898947368421,1.8000000000000003,0.9,-0.0,-124.37025263157895
10,2024-01-01,104.0,149.50881975834835,2.0,0.9,-0.0,-138.37898947368421,-2.0,0.37368421052631584,208.0,83.62974736842105
11,2024-01-01,98.13,149.97901957553074,-2.0,0.37368421052631584,196.26,57.88101052631578,-2.0,0.09999999999999998,102.05520000000001,185.68494736842106
12,2024-01-01,101.55,180.5312529866879,-0.004140307181294734,0.37368421052631584,-0.0,57.88101052631578,-2.0,0.09999999999999998,-0.0,185.68494736842106
13,2024-01-01,98.16,166.6399225857616,-2.0,0.09999999999999998,102.08640000000003,159.9674105263158,-2.0,0.09999999999999998,-0.0,185.68494736842106
14,2024-01-01,98.17,102.7795462045702,2.0,0.575,-196.34,-36.3725894736842,1.8000000000000003,0.5275000000000001,-176.70600000000002,8.978947368421046
15,2024-01-01,105.54,107.66718060826648,2.0,0.9,-144.42315789473687,-180.79574736842108,1.8000000000000003,0.9,-165.53115789473682,-156.55221052631578
16,2024-01-01,110.0,136.1177881227972,1.6428235563893487,0.9,-0.0,-180.79574736842108,1.8000000000000003,0.9,-0.0,-156.55221052631578
17,2024-01-01,120.04,148.6540574895878,2.0,0.9,-0.0,-180.79574736842108,1.8000000000000003,0.9,-0.0,-156.55221052631578
18,2024-01-01,131.5,192.472363950774,-2.0,0.37368421052631584,263.0,82.20425263157892,-1.4,0.5315789473684212,184.1,27.54778947368422
19,2024-01-01,132.0,240.7727747255824,-2.0,0.09999999999999998,137.28000000000003,219.48425263157895,-2.0,0.09999999999999998,216.48000000000005,244.02778947368427
20,2024-01-01,127.75,174.60174111825782,2.0,0.575,-255.5,-36.015747368421046,-2.0,0.09999999999999998,-0.0,244.02778947368427
21,2024-01-01,113.48,197.0146570842599,0.009778423600341764,0.575,-0.0,-36.015747368421046,-2.0,0.09999999999999998,-0.0,244.02778947368427
22,2024-01-01,109.18,171.28289447306764,0.10526315778847659,0.5999999999747632,-11.492631567345875,-47.50837893576692,-2.0,0.09999999999999998,-0.0,244.02778947368427
23,2024-01-01,107.2,117.22216590474949,2.0,0.9,-135.4105263271806,-182.91890526294753,-2.0,0.09999999999999998,-0.0,244.02778947368427
24,2024-01-02,105.49,192.7603118072826,-2.0,0.37368421052631584,210.98,28.061094737052457,-2.0,0.09999999999999998,-0.0,244.02778947368427
25,2024-01-02,90.09,107.46576384642404,2.0,0.8486842105263158,-180.18,-152.11890526294755,1.8000000000000003,0.5275000000000001,-162.16200000000003,81.86578947368423
26,2024-01-02,84.27,101.57595968507323,2.0,0.9,-18.20792243767313,-170.32682770062067,1.8000000000000003,0.9,-132.17084210526312,-50.30505263157889
27,2024-01-02,84.27,122.16452088142115,-2.0,0.37368421052631584,168.54,-1.7868277006206768,1.8000000000000003,0.9,-0.0,-50.30505263157889
28,2024-01-02,84.27,86.24494387277426,2.0,0.8486842105263158,-168.54,-170.32682770062067,1.8000000000000003,0.9,-0.0,-50.30505263157889
29,2024-01-02,100.0,175.79530177129308,-2.0,0.32236842105263164,200.0,29.67317229937933,1.8000000000000003,0.9,-0.0,-50.30505263157889
30,2024-01-02,108.28,198.63874031797909,-2.0,0.1,91.49660000000002,121.16977229937935,1.8000000000000003,0.9,-0.0,-50.30505263157889
31,2024-01-02,113.85,142.05880014343427,2.0,0.575,-227.7,-106.53022770062064,1.8000000000000003,0.9,-0.0,-50.30505263157889
32,2024-01-02,126.9,220.62898906387832,-2.0,0.09999999999999992,229.0545,122.52427229937935,-2.0,0.37368421052631584,253.8,203.49494736842112
